#,VIB ID,Equipment ID,Date,Axial (mm/s),Gear (mm/s),Horizontal (mm/s),Vertical (mm/s)
5821,Vb-451.FN240-FNDE-RMS,451.FN240,2026-04-26,0.43,,1.29,1.44
5822,Vb-451.FN240-MDE-RMS,451.FN240,2026-04-26,0.68,,1.41,1
5823,Vb-451.FN240-MNDE-RMS,451.FN240,2026-04-26,0.42,,0.64,0.41
5824,Vb-451.WI210-MDE-RMS,451.WI210,2026-04-12,1.69,,2.28,1.83
5825,Vb-451.WI210-PDE-RMS,451.WI210,2026-04-12,3,,6.06,4.85
5826,Vb-451.WI210-PNDE-RMS,451.WI210,2026-04-12,1.89,,1.52,1.86
5827,Vb-451.WI111-MDE-RMS,451.WI111,2026-04-12,0.5,,2.94,2.1
5828,Vb-451.WI111-MNDE-RMS,451.WI111,2026-04-12,0.43,,0.71,2.62
5829,Vb-451.WI111-PDE-RMS,451.WI111,2026-03-30,1.51,,,
5830,Vb-451.WI111-PDE-RMS,451.WI111,2026-04-12,,,2.02,1.99
5831,Vb-451.WI111-PNDE-RMS,451.WI111,2026-04-12,1.02,,0.81,0.83
5832,Vb-341.FN315-FDE-RMS,341.FN315,2026-01-21,2.09,,5,1.87
5833,Vb-341.FN315-FNDE-RMS,341.FN315,2026-01-21,4.76,,5.96,1.45
5834,Vb-341.FN315-MDE-RMS,341.FN315,2026-01-21,,,5.22,2.74
5835,Vb-341.FN315-MNDE-RMS,341.FN315,2026-01-21,3.13,,3.21,2.25
5836,Vb-341.FN316-FDE-RMS,341.FN316,2026-04-29,5.09,,5.6,4.9
5837,Vb-341.FN316-FNDE-RMS,341.FN316,2026-04-29,5.68,,7.44,5.23
5838,Vb-341.FN316-MDE-RMS,341.FN316,2026-04-29,,,6.05,6.09
5839,Vb-341.FN316-MNDE-RMS,341.FN316,2026-04-29,3.79,,4.94,5.54
5840,Vb-441.CR400-CRDE-RMS,441.CR400,2026-04-07,0.71,,1.28,1.61
5841,Vb-441.CR400-CRNDE-RMS,441.CR400,2026-04-07,0.97,,1.16,0.99
5842,Vb-441.CR400-MDE-RMS,441.CR400,2026-04-07,0.76,,0.73,0.76
5843,Vb-441.CR400-MNDE-RMS,441.CR400,2026-04-07,0.87,,0.77,0.51
5844,Vb-461.MD140-MDE-RMS,461.MD140,2026-04-30,0.23,,0.46,0.31
5845,Vb-461.MD140-MNDE-RMS,461.MD140,2026-04-30,0.24,,0.36,0.28
5846,Vb-461.MD140-PHSS-RMS,461.MD140,2026-04-30,0.17,,0.23,0.12
5847,Vb-461.MD140-RGT-RMS,461.MD140,2026-04-30,0.19,,0.17,0.13
5848,Vb-461.FN125-FDE-RMS,461.FN125,2026-04-30,7.02,,2.55,4.51
5849,Vb-461.FN125-FNDE-RMS,461.FN125,2026-04-30,6.08,,2.58,5.63
5850,Vb-461.FN125-MDE-RMS,461.FN125,2026-04-30,,,2.56,3.86
5851,Vb-461.FN125-MNDE-RMS,461.FN125,2026-04-30,13.09,,1.76,4.22
5852,Vb-461.MD152-MDE-RMS,461.MD152,2026-03-26,0.35,,1.17,0.85
5853,Vb-461.MD152-MNDE-RMS,461.MD152,2026-03-26,0.42,,1.04,1.52
5854,Vb-461.MD152-S1DE-RMS,461.MD152,2026-03-26,0.36,,0.89,0.56
5855,Vb-461.MD152-S1NDE-RMS,461.MD152,2026-03-26,0.39,,0.77,0.5
5856,Vb-461.MD152-S2DE-RMS,461.MD152,2026-03-26,0.59,,0.72,1.03
5857,Vb-461.MD152-S2NDE-RMS,461.MD152,2026-03-26,,,0.65,0.68
5858,Vb-331.WI211-MDE-RMS,331.WI211,2026-04-29,0.54,,1.92,1.02
5859,Vb-331.WI211-MNDE-RMS,331.WI211,2026-04-29,1.03,,2.99,1.39
5860,Vb-331.WI211-PDE-RMS,331.WI211,2026-04-29,0.63,,2.55,2.15
5861,Vb-331.WI211-PNDE-RMS,331.WI211,2026-04-29,0.66,,1.38,0.78
5862,Vb-441.FN300-FDE-RMS,441.FN300,2026-04-29,5.42,,6.25,2.79
5863,Vb-441.FN300-FNDE-RMS,441.FN300,2026-04-29,6.62,,6.01,4.3
5864,Vb-441.FN300-MDE-RMS,441.FN300,2026-04-29,6.04,,5.67,2.78
5865,Vb-441.FN300-MNDE-RMS,441.FN300,2026-04-29,5.07,,4.7,3.29
5866,Vb-441.FN305-FDE-RMS,441.FN305,2026-04-06,0.71,,1.25,1.36
5867,Vb-441.FN305-FNDE-RMS,441.FN305,2026-04-06,0.98,,0.93,1.12
5868,Vb-441.FN305-MDE-RMS,441.FN305,2026-04-06,2.08,,1.84,2.72
5869,Vb-441.FN305-MNDE-RMS,441.FN305,2026-04-06,0.77,,1.11,1.35
5870,Vb-441.FN310-FDE-RMS,441.FN310,2026-04-27,0.71,,1.14,1.58
5871,Vb-441.FN310-FNDE-RMS,441.FN310,2026-04-06,1.04,,,
5872,Vb-441.FN310-FNDE-RMS,441.FN310,2026-04-27,,,1.27,1.91
5873,Vb-441.FN310-MDE-RMS,441.FN310,2026-04-27,2.66,,1.86,2.5
